Umur,Jenis Kelamin,Wilayah,Lembaga,Tanggapan
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Takut kerena banjir
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Takut
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Cemas
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Lari
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,"Menyelamatkan adik, ibu, ayah, dan diri sendiri"
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Takut
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,aku mau lari ke posko
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Cemas
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,"Menyelamatkan adik, mama, dan bapak"
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,"Takut, cemas"
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Takut longsor
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Seram
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Takut
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Cemas
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Lari
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Kulihat rumah dibawa air yang deras
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Kulihat pohon yang besar dibawa air juga
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,"Sebelumnya rumah masih kokoh berdiri, lalu setelah banjir rumah bergeser karena air dan tanah, lalu roboh"
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Banyak bebatuan yang dating
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Kondisi air dan sungai berubah
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Rumah hancur
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,"Kayu, batu, sampah, sungai hancur, pasir, dan longsor"
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Banyak orang terluka
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,"Sebelum bencana banjir kondisinya indah, banyak tanaman, bunga-bunga, lalu setelah banjir banyak kayu, batu, rumah hancur dan tidak indah lagi"
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Suara hujan
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Suara petir
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Suara air
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Suara angin
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Suara batu
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Saya mendengar suara hujan deras
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Saya mendengar suara air deras
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Saya mendengar suara banjir menghancurkan rumah
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Saya mendengar suara rumah roboh dan hanyut dibawa air
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Suara kayu
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Suara air
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,"Aku bertemu sama teman-teman, aku bercerita tentang banjir"
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Aku minum air putih
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,Aku makan nasi dan supermi
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,"Cerita dengan teman, saudara, orangrua, dan keluarga lain"
8 sampai 11 tahun,Perempuan,Sibolga Utara,WVI,"Makan mie, telur, kerupuk, dan air"
